"id","listing_url","name","description","picture_url","zip_code","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","number_of_reviews","overall_rating","host_id","host_url","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_identity_verified","host_total_listings_count"
1106548827734993152,"https://www.airbnb.com/rooms/844238766496777988","Modern Stylish Home - Near E. 6th St & Downtown","Welcome to our spacious 2000 sq.ft. home, perfect for groups! Use it as your ""home base"" for your bachelorette or birthday celebration. Our new murals make the perfect backdrop for all your photos! Enjoy our 3 private patios. Only 1.5 miles from downtown, East 6th, the Capital, Franklin's BBQ and UT. Walking distance to great restaurants, bars, and live music venues like Stubbs, The White Horse, and Kitty Cohen.","https://a0.muscache.com/pictures/miso/Hosting-844238766496777988/original/a82e1bdd-2fa3-4ad9-ad94-313a2d6b1a4b.jpeg",78702,30.2670912659447,-97.7086218561868,"Entire home/apt",14,2.5,3,9,290,1,89,4.89,44380797,"https://www.airbnb.com/users/show/44380797","Lynn","2015-09-16","within an hour",100,99,1,1,20
1071319927528392320,"https://www.airbnb.com/rooms/812430634530133743","Austin Studio - Great Location!","Austin is known for its quirky nature and hodgepodge of musical and cultural tastes — and you can see it all from the comfort of the resort. You’re conveniently located just minutes from local attractions, diverse eateries, and vibrant venues.","https://a0.muscache.com/pictures/6e55ce5b-2829-46a2-ba4a-be8d08b54076.jpg",78701,30.2726471737186,-97.7484523227673,"Entire home/apt",4,1,1,3,301,2,2,5,240078487,"https://www.airbnb.com/users/show/240078487","Steven","2019-01-30","within a few hours",97,27,1,1,472
43335295,"https://www.airbnb.com/rooms/48273574","Close to Q2 Stadium &Domain, 2b house w/ a gazebo","NO PET FEE!!<br /><br />This house has fast wifi, good insulation, and multiple areas for peace and privacy. The tranquility from the enclosed outside patio during the daytime is my personal favorite part of this home space.  This Airbnb is very clean and has a cozy and vintage feel with a host manager who lives next door and can drop by for any issues should they come up!","https://a0.muscache.com/pictures/3ca6a8d9-df14-4c21-8b07-59106279b989.jpg",78758,30.37176,-97.70357,"Entire home/apt",5,1,2,2,120,2,18,4.67,11844619,"https://www.airbnb.com/users/show/11844619","Teddy","2014-02-01","within a day",50,0,0,1,1
710112287121812864,"https://www.airbnb.com/rooms/42226681","La Casita On East 7th Street","La Casita was The Station's first hosting space and has  held strong ever since. It is a cozy tiny house tucked away in Central East Austin, located on East 7th Street.","https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDIyMjY2ODE%3D/original/5ce1a799-9afe-4f09-b21f-f2bd089d1f10.jpeg",78702,30.2605,-97.71372,"Entire home/apt",2,1,1,1,72,1,156,4.78,43818296,"https://www.airbnb.com/users/show/43818296","Thomas","2015-09-09","within an hour",100,100,1,0,3
729776774841993216,"https://www.airbnb.com/rooms/1149145259090139246","Beautiful 2 bedroom house in Cherrywood","Lovely little house on a cul-de-sac in Cherrywood. Amazing light, huge kitchen. Two bedrooms, one that has a queen Murphy bed that is surprisingly comfortable. When it's not down, used as an office. Fully furnished with a lot of art from local Austin artists. Part of four homes that share a really lovely backyard. Great for an artist retreat or a quiet spot to return to after some Austin adventures.","https://a0.muscache.com/pictures/hosting/Hosting-1149145259090139246/original/55f22a33-1698-4302-bc6f-fa1536b3172a.jpeg",78722,30.28879,-97.72197,"Entire home/apt",5,1,2,0,125,1,0,NA,9773215,"https://www.airbnb.com/users/show/9773215","Kate","2013-11-02","within a few hours",100,100,0,1,1
45787271,"https://www.airbnb.com/rooms/1064580318192045244","South ATX Retreat - Sleeps 4, Porch","Indulge in an elegant retreat situated moments from downtown's bustling energy. Our location is a stone's throw from the serene Town Lake, the iconic Auditorium Shores, and the lush, verdant landscapes of Zilker Park and Barton Creek Greenbelt. Nestled in a tranquil, pedestrian-friendly neighborhood, you're just two blocks away from the culinary delights and aromatic coffee houses of South Lamar. This unique property holds a rich history, once being the homestead of SXSW's creative director.","https://a0.muscache.com/pictures/miso/Hosting-1064580318192045244/original/2168184b-e7f1-41cc-b428-7f8a48e7d884.jpeg",78704,30.2473672050481,-97.7735831029309,"Entire home/apt",4,2,2,2,134,1,7,5,453833159,"https://www.airbnb.com/users/show/453833159","Susan","2022-04-11","within an hour",100,95,0,1,1
943954088634784000,"https://www.airbnb.com/rooms/874529398340045903","Chic Austin House w/ Spacious Backyard & Hammock","","https://a0.muscache.com/pictures/prohost-api/Hosting-874529398340045903/original/929c5c14-7345-43bb-bef4-bb5504b09447.jpeg",78745,30.2234305290749,-97.7734658669561,"Entire home/apt",4,2.5,2,2,163,2,3,5,456475914,"https://www.airbnb.com/users/show/456475914","Evolve","2022-04-28","within an hour",100,99,0,0,1560
868925632103305984,"https://www.airbnb.com/rooms/39753269","Elegant Retreat | 2 Blocks to East 6th Street","Step into our 5-bedroom designer haven in Austin's vibrant heart! Every inch exudes artful elegance, ensuring guests enjoy both luxury and coziness. With the city's top attractions at your doorstep, our central location is unmatched. Whether exploring Austin's charm or lounging in art-inspired spaces, our home promises a memorable stay. Experience true Austin vibes with us - where style, comfort, and convenience converge.","https://a0.muscache.com/pictures/ddd0c90e-5faf-480d-98ad-6948107e57fa.jpg",78702,30.25691,-97.71883,"Entire home/apt",15,3,5,10,79,1,514,4.82,4868857,"https://www.airbnb.com/users/show/4868857","Jillian","2013-01-27","within an hour",100,99,1,1,7
691983525712426496,"https://www.airbnb.com/rooms/48145875","Sentral 1 Bedroom Apt on East 6th St","This mid-century style East Austin one-bedroom apartment puts you in the center of one of the city’s favorite neighborhoods.  The fully equipped kitchen features stainless appliances and quartz countertops. Enjoy common areas like on-site co-working space, entertainment lounge, fitness center, and open-air courtyard. <br /><br />Please note that layout, furnishings, and views may vary by unit. A $50 credit card authorization applies at check-in and is released at checkout.","https://a0.muscache.com/pictures/miso/Hosting-48145875/original/abb1fa8d-e649-4501-bd13-8f48e28bfb46.jpeg",78702,30.26325,-97.72382,"Entire home/apt",2,1,1,1,148,1,56,4.73,385526414,"https://www.airbnb.com/users/show/385526414","Sentral East Austin 1630","2021-01-21","within an hour",100,99,0,1,8
2126912,"https://www.airbnb.com/rooms/719654151800097498","Artist haven 1-bedroom Loft!","This downtown loft is in the most central block in Austin! You are a 2 minute walk to Lady Bird lake to run/walk/stand up paddle, 2 minute walk to the convention center, 1 street over from the main strip for night life/restaurants and a 15 minute walk to ACL. <br />Despite being close to everything, the loft is on the quiet side of the building so you won't hear any city sounds in the bed room. Extra tall ceilings, lots of bright morning sun light and blow up queen mattress available.","https://a0.muscache.com/pictures/miso/Hosting-719654151800097498/original/b79ba826-3003-4b42-bb88-7fc188a78d4d.jpeg",78701,30.26691,-97.74062,"Entire home/apt",4,1,1,0,225,1,35,4.74,15282804,"https://www.airbnb.com/users/show/15282804","Derick","2014-05-08","within a day",60,84,0,1,1
